Name,Number,Symbol,Atomic weight,Origin of name,Group,Period,Density,Melt,Boil,Heat,Neg10,Abundance
Hydrogen,1,H,1.0082349,the Greek 'hydro' and 'genes' meaning water-forming,1,1,0.00008988,14.01,20.28,14.304,2.2,1400
Helium,2,He,4.002602224,the Greek 'helios' meaning sun,18,1,0.0001785,0.956,4.22,5.193,–,0.008
Lithium,3,Li,6.9423459,the Greek 'lithos' meaning stone,1,2,0.534,453.69,1560,3.582,0.98,20
Beryllium,4,Be,9.0121823,"the Greek name for beryl, 'beryllo'",2,2,1.85,1560,2742,1.825,1.57,2.8
Boron,5,B,10.812349,"the Arabic 'buraq', which was the name for borax",13,2,2.34,2349,4200,1.026,2.04,10
Carbon,6,C,12.011249,"the Latin 'carbo', meaning charcoal",14,2,2.267,3800,4300,0.709,2.55,200
Nitrogen,7,N,14.007249,the Greek 'nitron' and 'genes' meaning nitre-forming,15,2,0.0012506,63.15,77.36,1.04,3.04,19
Oxygen,8,O,15.999249,the Greek 'oxy' and 'genes' meaning acid-forming,16,2,0.001429,54.36,90.2,0.918,3.44,461000
Fluorine,9,F,18.99840325,"the Latin 'fluere', meaning to flow",17,2,0.001696,53.53,85.03,0.824,3.98,585
Neon,10,Ne,20.1797623,"the Greek 'neos', meaning new",18,2,0.0008999,24.56,27.07,1.03,–,0.005
Sodium,11,Na,22.98976928,the English word soda natrium in Latin,1,3,0.971,370.87,1156,1.228,0.93,23600
Magnesium,12,Mg,24.3059,"Magnesia, a district of Eastern Thessaly in Greece",2,3,1.738,923,1363,1.023,1.31,23300
Aluminium,13,Al,26.98153868,"the Latin name for alum, 'alumen' meaning bitter salt",13,3,2.698,933.47,2792,0.897,1.61,82300
Silicon,14,Si,28.08549,"the Latin 'silex' or 'silicis', meaning flint",14,3,2.3296,1687,3538,0.705,1.9,282000
Phosphorus,15,P,30.9737622,"the Greek 'phosphoros', meaning bringer of light",15,3,1.82,317.3,550,0.769,2.19,1050
Sulfur,16,S,32.06249,"Either from the Sanskrit 'sulvere', or the Latin 'sulfurium', both names for sulfur",16,3,2.067,388.36,717.87,0.71,2.58,350
Chlorine,17,Cl,35.452349,"the Greek 'chloros', meaning greenish yellow",17,3,0.003214,171.6,239.11,0.479,3.16,145
Argon,18,Ar,39.948124,"the Greek, 'argos', meaning idle",18,3,0.0017837,83.8,87.3,0.52,–,3.5
Potassium,19,K,39.09831,the English word potash kalium in Latin,1,4,0.862,336.53,1032,0.757,0.82,20900
Calcium,20,Ca,40.07842,the Latin 'calx' meaning lime,2,4,1.54,1115,1757,0.647,1,41500
Scandium,21,Sc,44.9559126,Scandinavia with the Latin name Scandia,3,4,2.989,1814,3109,0.568,1.36,22
Titanium,22,Ti,47.8671,"Titans, the sons of the Earth goddess of Greek mythology",4,4,4.54,1941,3560,0.523,1.54,5650
